tier,champ_name,item_id,zero_item_win_rate,zero_count,one_item_win_rate,one_count,lift_score,cn_champ,cn_item
master,Vi,67,0.0952,7791,0.1444,956,0.0491,蔚,凌风
diamond,Lucian,57,0.0721,2677,0.1212,1733,0.0491,卢锡安,红霸符
challenger,Graves,58,0.1041,10887,0.1532,111,0.0491,格雷福斯,叛逆者勋章
platinum,Karma,46,0.1378,11443,0.1868,91,0.049,卡尔玛,恩泽圣杯
master,Jayce,47,0.0753,4410,0.1242,153,0.0489,杰斯,救赎
master,Kassadin,45,0.1123,14742,0.1609,87,0.0487,卡萨丁,冰霜之心
master,Fiora,36,0.0749,2524,0.1235,170,0.0487,菲奥娜,离子火花
platinum,TwistedFate,67,0.1341,4220,0.1827,104,0.0486,崔斯特,凌风
grandmaster,Thresh,26,0.1691,9396,0.2177,124,0.0486,锤石,卢安娜的飓风
grandmaster,Blitzcrank,36,0.1041,19762,0.1525,118,0.0485,布里茨,离子火花
grandmaster,Vi,17,0.0928,7230,0.1412,85,0.0484,蔚,基克的先驱
diamond,Lucian,67,0.0721,2677,0.1205,166,0.0484,卢锡安,凌风
grandmaster,Kassadin,67,0.1174,15923,0.1659,422,0.0484,卡萨丁,凌风
diamond,Irelia,29,0.1167,3386,0.1651,212,0.0484,艾瑞莉娅,最后的轻语
grandmaster,ChoGath,67,0.0956,6842,0.1439,264,0.0484,科加斯,凌风
master,Lucian,9,0.0671,2640,0.1154,78,0.0483,卢锡安,拳套
challenger,Vi,47,0.088,6514,0.1362,991,0.0483,蔚,救赎
grandmaster,KaiSa,67,0.0559,1592,0.1039,77,0.048,卡莎,凌风
grandmaster,Kassadin,27,0.1174,15923,0.1655,139,0.048,卡萨丁,兹若特传送门
master,Neeko,36,0.1338,2339,0.1818,55,0.048,妮蔻,离子火花
platinum,MasterYi,67,0.0918,4052,0.1398,93,0.048,易大师,凌风
diamond,Ezreal,17,0.1067,9487,0.1546,194,0.048,伊泽瑞尔,基克的先驱
diamond,Lucian,3,0.0721,2677,0.12,75,0.0479,卢锡安,无用大棒
diamond,MissFortune,38,0.161,3659,0.2089,158,0.0479,厄运小姐,爆破专家的电荷
master,Jayce,67,0.0753,4410,0.1232,138,0.0479,杰斯,凌风
challenger,Neeko,37,0.126,2182,0.1739,69,0.0479,妮蔻,莫雷洛秘典
master,Irelia,47,0.1091,2145,0.1569,51,0.0478,艾瑞莉娅,救赎
challenger,Rakan,67,0.1272,2162,0.175,80,0.0478,洛,凌风
challenger,Thresh,55,0.1599,10538,0.2076,53,0.0477,锤石,棘刺背心
grandmaster,Ezreal,29,0.0968,11402,0.1445,263,0.0477,伊泽瑞尔,最后的轻语
master,Vi,15,0.0952,7791,0.1429,98,0.0476,蔚,守护天使
master,Kassadin,88,0.1123,14742,0.1596,94,0.0473,卡萨丁,自然之力
grandmaster,Jayce,77,0.0801,4195,0.1273,55,0.0472,杰斯,狂徒铠甲
master,Jayce,36,0.0753,4410,0.1225,343,0.0472,杰斯,离子火花
challenger,JarvanIV,47,0.1178,3567,0.1649,285,0.0472,嘉文四世,救赎
diamond,Kassadin,36,0.1245,16396,0.1716,169,0.0471,卡萨丁,离子火花
challenger,Leona,55,0.0909,4590,0.1379,174,0.0471,蕾欧娜,棘刺背心
grandmaster,Zoe,67,0.1504,8918,0.1975,157,0.0471,佐伊,凌风
grandmaster,Poppy,88,0.1161,6923,0.1633,98,0.0471,波比,自然之力
challenger,Zoe,67,0.1375,7534,0.1845,168,0.047,佐伊,凌风
challenger,Karma,35,0.1486,11298,0.1957,92,0.047,卡尔玛,钢铁烈阳之匣
challenger,Xayah,67,0.1136,4781,0.1605,299,0.047,霞,凌风
master,Neeko,37,0.1338,2339,0.1807,83,0.0469,妮蔻,莫雷洛秘典
platinum,Soraka,68,0.1407,7122,0.1875,64,0.0468,索拉卡,天神法球
master,Blitzcrank,68,0.1051,18752,0.1519,79,0.0468,布里茨,天神法球
diamond,JarvanIV,5,0.0988,3614,0.1455,55,0.0467,嘉文四世,锁子甲
challenger,Lux,48,0.1549,11560,0.2016,248,0.0467,拉克丝,星之守护者的符咒
challenger,Mordekaiser,47,0.0989,6533,0.1455,495,0.0466,莫德凯撒,救赎
platinum,ChoGath,45,0.1078,4414,0.1543,162,0.0465,科加斯,冰霜之心
platinum,Ezreal,56,0.1152,8514,0.1617,167,0.0465,伊泽瑞尔,破刃者
challenger,Leona,25,0.0909,4590,0.1373,51,0.0464,蕾欧娜,泰坦的坚决
platinum,Rakan,46,0.0992,3761,0.1455,55,0.0463,洛,恩泽圣杯
master,MissFortune,59,0.1499,3390,0.1961,51,0.0462,厄运小姐,静止法衣
master,Syndra,39,0.1168,2200,0.163,92,0.0462,辛德拉,珠光护手
platinum,Kayle,67,0.1449,3353,0.1912,68,0.0462,凯尔,凌风
diamond,Rakan,34,0.1184,4476,0.1646,79,0.0462,洛,卢登的回声
master,Ashe,56,0.1248,9252,0.1709,117,0.0461,艾希,破刃者
grandmaster,Vi,14,0.0928,7230,0.1389,72,0.0461,蔚,朔极之矛
grandmaster,Lucian,6,0.0563,2273,0.1024,127,0.0461,卢锡安,负极斗篷
grandmaster,Graves,67,0.1107,12309,0.1568,491,0.0461,格雷福斯,凌风
master,JarvanIV,47,0.1037,3577,0.1498,207,0.046,嘉文四世,救赎
diamond,Blitzcrank,7,0.1176,19351,0.1636,55,0.046,布里茨,巨人腰带
grandmaster,Lux,39,0.1637,10165,0.2097,62,0.046,拉克丝,珠光护手
diamond,VelKoz,48,0.1147,1744,0.1607,112,0.046,维克兹,星之守护者的符咒
grandmaster,Blitzcrank,35,0.1041,19762,0.15,60,0.0459,布里茨,钢铁烈阳之匣
grandmaster,Fiora,5,0.0715,2280,0.1174,213,0.0459,菲奥娜,锁子甲
grandmaster,Caitlyn,69,0.1159,2097,0.1618,68,0.0459,凯特琳,水银
master,Malphite,88,0.1165,17050,0.1623,191,0.0458,墨菲特,自然之力
challenger,KhaZix,1,0.1038,5730,0.1495,107,0.0457,卡兹克,暴风大剑
grandmaster,Vi,27,0.0928,7230,0.1385,195,0.0457,蔚,兹若特传送门
grandmaster,Ashe,67,0.1242,9750,0.1699,418,0.0457,艾希,凌风
master,ChoGath,34,0.0932,5524,0.1389,72,0.0457,科加斯,卢登的回声
master,Lulu,59,0.201,6815,0.2467,150,0.0456,璐璐,静止法衣
grandmaster,Ezreal,67,0.0968,11402,0.1424,611,0.0456,伊泽瑞尔,凌风
platinum,Jayce,55,0.0908,4990,0.1364,66,0.0456,杰斯,棘刺背心
challenger,Ezreal,23,0.0952,12275,0.1406,64,0.0455,伊泽瑞尔,鬼索的狂暴之刃
diamond,Vi,15,0.1075,9879,0.1529,85,0.0454,蔚,守护天使
grandmaster,JarvanIV,17,0.1085,3004,0.1539,52,0.0453,嘉文四世,基克的先驱
master,Thresh,69,0.17,8457,0.2154,65,0.0453,锤石,水银
diamond,Kassadin,27,0.1245,16396,0.1696,112,0.0452,卡萨丁,兹若特传送门
grandmaster,Thresh,15,0.1691,9396,0.2143,84,0.0452,锤石,守护天使
platinum,KhaZix,67,0.1161,4746,0.1613,155,0.0452,卡兹克,凌风
platinum,KhaZix,88,0.1161,4746,0.1613,62,0.0452,卡兹克,自然之力
grandmaster,Vi,79,0.0928,7230,0.1379,145,0.0451,蔚,伏击之爪
master,Jayce,39,0.0753,4410,0.1204,108,0.0451,杰斯,珠光护手
challenger,Kayle,17,0.1592,5064,0.2043,93,0.0451,凯尔,基克的先驱
grandmaster,JarvanIV,47,0.1085,3004,0.1535,215,0.045,嘉文四世,救赎
diamond,Lux,34,0.1461,6963,0.191,89,0.045,拉克丝,卢登的回声
platinum,Jayce,89,0.0908,4990,0.1356,59,0.0448,杰斯,暗星之心
master,Ezreal,58,0.0999,11391,0.1447,159,0.0448,伊泽瑞尔,叛逆者勋章
diamond,WuKong,47,0.1043,8641,0.149,557,0.0447,孙悟空,救赎
challenger,MissFortune,67,0.1524,4016,0.1971,137,0.0447,厄运小姐,凌风
challenger,Leona,9,0.0909,4590,0.1355,155,0.0446,蕾欧娜,拳套
grandmaster,Vi,67,0.0928,7230,0.1374,968,0.0446,蔚,凌风
master,Shen,47,0.1089,10710,0.1534,541,0.0446,慎,救赎
grandmaster,Lucian,7,0.0563,2273,0.1009,218,0.0446,卢锡安,巨人腰带
grandmaster,Shen,88,0.1084,11646,0.1528,72,0.0444,慎,自然之力
challenger,Fiora,5,0.0773,2108,0.1216,296,0.0443,菲奥娜,锁子甲
grandmaster,Lux,47,0.1637,10165,0.208,125,0.0443,拉克丝,救赎
master,Shen,35,0.1089,10710,0.1531,98,0.0442,慎,钢铁烈阳之匣
platinum,JarvanIV,35,0.0978,5991,0.142,162,0.0442,嘉文四世,钢铁烈阳之匣
master,Blitzcrank,17,0.1051,18752,0.1493,67,0.0442,布里茨,基克的先驱
grandmaster,WuKong,55,0.1081,8896,0.1524,315,0.0442,孙悟空,棘刺背心
grandmaster,MissFortune,13,0.1479,3436,0.1919,99,0.0441,厄运小姐,海克斯科技枪刃
challenger,WuKong,89,0.1045,8208,0.1487,74,0.0441,孙悟空,暗星之心
grandmaster,Leona,7,0.0752,4125,0.1193,327,0.0441,蕾欧娜,巨人腰带
grandmaster,Rakan,46,0.1411,3644,0.1852,54,0.0441,洛,恩泽圣杯
master,WuKong,47,0.1046,8805,0.1487,538,0.0441,孙悟空,救赎
challenger,Malphite,47,0.1082,16535,0.1522,92,0.044,墨菲特,救赎
diamond,Malphite,59,0.1228,17579,0.1667,168,0.0439,墨菲特,静止法衣
diamond,Fiora,78,0.079,3024,0.1228,57,0.0438,菲奥娜,守护者胸甲
master,Jayce,33,0.0753,4410,0.1191,84,0.0438,杰斯,灭世者的死亡之帽
master,WuKong,15,0.1046,8805,0.1484,256,0.0438,孙悟空,守护天使
challenger,WuKong,66,0.1045,8208,0.1482,135,0.0436,孙悟空,巨龙之爪
platinum,Jayce,27,0.0908,4990,0.1343,67,0.0436,杰斯,兹若特传送门
diamond,Kassadin,34,0.1245,16396,0.168,125,0.0435,卡萨丁,卢登的回声
platinum,Lux,28,0.1505,9382,0.194,67,0.0435,拉克丝,刺客之爪
master,MissFortune,39,0.1499,3390,0.1933,150,0.0435,厄运小姐,珠光护手
challenger,Kassadin,27,0.1088,14576,0.1523,151,0.0435,卡萨丁,兹若特传送门
platinum,Lulu,57,0.1979,6257,0.2414,58,0.0435,璐璐,红霸符
platinum,Thresh,88,0.1805,5911,0.2239,67,0.0434,锤石,自然之力
diamond,Leona,6,0.0683,3264,0.1117,358,0.0434,蕾欧娜,负极斗篷
challenger,Lulu,69,0.2037,7896,0.2471,85,0.0434,璐璐,水银
master,Lulu,15,0.201,6815,0.2444,90,0.0434,璐璐,守护天使
diamond,Fiora,9,0.079,3024,0.1225,98,0.0434,菲奥娜,拳套
platinum,MissFortune,29,0.1478,3830,0.1912,68,0.0434,厄运小姐,最后的轻语
platinum,Malphite,67,0.1346,13652,0.1779,326,0.0433,墨菲特,凌风
challenger,Lucian,3,0.0556,2517,0.0989,283,0.0433,卢锡安,无用大棒
platinum,MissFortune,26,0.1478,3830,0.191,89,0.0432,厄运小姐,卢安娜的飓风
diamond,Jayce,39,0.0928,5625,0.1359,103,0.0431,杰斯,珠光护手
master,Fiora,4,0.0749,2524,0.1179,407,0.0431,菲奥娜,女神之泪
challenger,Leona,8,0.0909,4590,0.1338,142,0.043,蕾欧娜,金铲铲
master,Lucian,4,0.0671,2640,0.1101,218,0.043,卢锡安,女神之泪
platinum,Karma,14,0.1378,11443,0.1807,83,0.0429,卡尔玛,朔极之矛
grandmaster,Kassadin,28,0.1174,15923,0.1604,106,0.0429,卡萨丁,刺客之爪
challenger,Kassadin,37,0.1088,14576,0.1517,145,0.0429,卡萨丁,莫雷洛秘典
grandmaster,ChoGath,68,0.0956,6842,0.1385,65,0.0429,科加斯,天神法球
platinum,MissFortune,58,0.1478,3830,0.1905,84,0.0427,厄运小姐,叛逆者勋章
grandmaster,MissFortune,23,0.1479,3436,0.1905,63,0.0426,厄运小姐,鬼索的狂暴之刃
platinum,Kayle,28,0.1449,3353,0.1875,112,0.0426,凯尔,刺客之爪
challenger,Shen,25,0.1067,11120,0.1493,67,0.0425,慎,泰坦的坚决
grandmaster,Kassadin,47,0.1174,15923,0.1598,926,0.0424,卡萨丁,救赎
challenger,Kassadin,89,0.1088,14576,0.1512,86,0.0424,卡萨丁,暗星之心
challenger,ChoGath,34,0.0897,5394,0.1321,53,0.0424,科加斯,卢登的回声
challenger,WuKong,25,0.1045,8208,0.1468,109,0.0423,孙悟空,泰坦的坚决
master,Shen,25,0.1089,10710,0.1512,86,0.0423,慎,泰坦的坚决
master,XinZhao,17,0.1146,3282,0.1569,51,0.0423,赵信,基克的先驱
challenger,Kassadin,28,0.1088,14576,0.1509,106,0.0421,卡萨丁,刺客之爪
master,KhaZix,88,0.1062,5369,0.1482,81,0.042,卡兹克,自然之力
master,Kassadin,67,0.1123,14742,0.1542,428,0.042,卡萨丁,凌风
platinum,Kassadin,88,0.1205,10815,0.1625,80,0.042,卡萨丁,自然之力
challenger,ChoGath,59,0.0897,5394,0.1316,190,0.0419,科加斯,静止法衣
challenger,ChoGath,69,0.0897,5394,0.1316,76,0.0419,科加斯,水银
grandmaster,Ezreal,56,0.0968,11402,0.1387,346,0.0419,伊泽瑞尔,破刃者
grandmaster,Graves,57,0.1107,12309,0.1525,118,0.0418,格雷福斯,红霸符
diamond,Jayce,78,0.0928,5625,0.1346,52,0.0418,杰斯,守护者胸甲
challenger,Fiora,7,0.0773,2108,0.1191,294,0.0417,菲奥娜,巨人腰带
master,Shen,67,0.1089,10710,0.1506,445,0.0417,慎,凌风
diamond,Fiora,6,0.079,3024,0.1207,232,0.0417,菲奥娜,负极斗篷
diamond,Ezreal,12,0.1067,9487,0.1484,155,0.0417,伊泽瑞尔,巨人杀手
diamond,Thresh,5,0.1726,6832,0.2143,56,0.0417,锤石,锁子甲
master,Leona,4,0.0758,4618,0.1173,324,0.0415,蕾欧娜,女神之泪
grandmaster,Lucian,12,0.0563,2273,0.0978,225,0.0415,卢锡安,巨人杀手
diamond,Graves,38,0.1153,11229,0.1569,102,0.0415,格雷福斯,爆破专家的电荷
master,JarvanIV,68,0.1037,3577,0.1452,62,0.0414,嘉文四世,天神法球
grandmaster,Lulu,24,0.2021,6804,0.2432,111,0.0412,璐璐,斯塔缇克电刃
grandmaster,JarvanIV,33,0.1085,3004,0.1497,147,0.0411,嘉文四世,灭世者的死亡之帽
grandmaster,WuKong,47,0.1081,8896,0.1492,650,0.0411,孙悟空,救赎
master,Thresh,26,0.17,8457,0.211,109,0.041,锤石,卢安娜的飓风
master,Leona,6,0.0758,4618,0.1166,626,0.0408,蕾欧娜,负极斗篷
diamond,Lucian,24,0.0721,2677,0.1129,62,0.0408,卢锡安,斯塔缇克电刃
master,Ezreal,49,0.0999,11391,0.1406,64,0.0407,伊泽瑞尔,正义之手
grandmaster,Kassadin,88,0.1174,15923,0.1579,76,0.0405,卡萨丁,自然之力
platinum,MissFortune,56,0.1478,3830,0.1882,85,0.0405,厄运小姐,破刃者
platinum,Lulu,67,0.1979,6257,0.2383,214,0.0405,璐璐,凌风
diamond,Leona,77,0.0683,3264,0.1087,92,0.0404,蕾欧娜,狂徒铠甲
master,ChoGath,35,0.0932,5524,0.1336,217,0.0404,科加斯,钢铁烈阳之匣
platinum,Neeko,47,0.092,3718,0.1324,68,0.0404,妮蔻,救赎
challenger,AurelionSol,38,0.2129,2424,0.2532,79,0.0403,奥瑞利安·索尔,爆破专家的电荷
diamond,Blitzcrank,68,0.1176,19351,0.1579,57,0.0403,布里茨,天神法球
platinum,Vi,88,0.1193,8502,0.1596,307,0.0403,蔚,自然之力
platinum,Kayle,58,0.1449,3353,0.1852,54,0.0403,凯尔,叛逆者勋章
master,Ashe,26,0.1248,9252,0.1651,103,0.0402,艾希,卢安娜的飓风
platinum,Poppy,67,0.1036,5871,0.1437,167,0.0402,波比,凌风
platinum,Lucian,2,0.0974,3644,0.1375,240,0.0401,卢锡安,反曲之弓
grandmaster,Malphite,47,0.1099,18161,0.15,120,0.0401,墨菲特,救赎
grandmaster,Lucian,2,0.0563,2273,0.0964,249,0.0401,卢锡安,反曲之弓
master,TwistedFate,67,0.1401,3940,0.1802,111,0.0401,崔斯特,凌风
platinum,Lux,14,0.1505,9382,0.1905,63,0.04,拉克丝,朔极之矛
challenger,Blitzcrank,17,0.0998,18309,0.1398,93,0.04,布里茨,基克的先驱
master,WuKong,36,0.1046,8805,0.1446,408,0.04,孙悟空,离子火花
master,Kassadin,17,0.1123,14742,0.1522,92,0.0399,卡萨丁,基克的先驱
grandmaster,WuKong,68,0.1081,8896,0.148,250,0.0399,孙悟空,天神法球
platinum,Neeko,68,0.092,3718,0.1319,91,0.0399,妮蔻,天神法球
challenger,Poppy,5,0.1103,7202,0.15,80,0.0398,波比,锁子甲
platinum,Fiora,8,0.0827,3422,0.1225,98,0.0398,菲奥娜,金铲铲
platinum,Graves,38,0.1097,7456,0.1494,87,0.0397,格雷福斯,爆破专家的电荷
challenger,Graves,47,0.1041,10887,0.1438,313,0.0397,格雷福斯,救赎
diamond,Jayce,79,0.0928,5625,0.1325,83,0.0397,杰斯,伏击之爪
platinum,Rakan,45,0.0992,3761,0.1387,173,0.0396,洛,冰霜之心
platinum,Leona,4,0.0838,4549,0.1233,146,0.0395,蕾欧娜,女神之泪
grandmaster,Lucian,1,0.0563,2273,0.0957,188,0.0394,卢锡安,暴风大剑
diamond,Ashe,69,0.1289,10077,0.1681,119,0.0392,艾希,水银
grandmaster,Ashe,29,0.1242,9750,0.1632,190,0.039,艾希,最后的轻语
platinum,Fiora,6,0.0827,3422,0.1217,337,0.039,菲奥娜,负极斗篷
grandmaster,Vi,35,0.0928,7230,0.1317,281,0.0389,蔚,钢铁烈阳之匣
grandmaster,Shaco,45,0.0702,2037,0.1091,110,0.0389,萨科,冰霜之心
challenger,Lucian,88,0.0556,2517,0.0945,127,0.0389,卢锡安,自然之力
grandmaster,Leona,88,0.0752,4125,0.1139,439,0.0388,蕾欧娜,自然之力
grandmaster,Kayle,67,0.1633,4347,0.2021,94,0.0388,凯尔,凌风
master,WuKong,68,0.1046,8805,0.1434,265,0.0388,孙悟空,天神法球
master,Jhin,12,0.1488,1969,0.1875,64,0.0387,烬,巨人杀手
platinum,Ahri,33,0.1009,3766,0.1395,86,0.0386,阿狸,灭世者的死亡之帽
grandmaster,Ashe,56,0.1242,9750,0.1628,129,0.0386,艾希,破刃者
master,MissFortune,29,0.1499,3390,0.1884,69,0.0386,厄运小姐,最后的轻语
diamond,WuKong,25,0.1043,8641,0.1429,196,0.0386,孙悟空,泰坦的坚决
grandmaster,ChoGath,47,0.0956,6842,0.1342,820,0.0386,科加斯,救赎
grandmaster,Jayce,79,0.0801,4195,0.1186,59,0.0385,杰斯,伏击之爪
diamond,Blitzcrank,17,0.1176,19351,0.1558,77,0.0382,布里茨,基克的先驱
challenger,Lucian,59,0.0556,2517,0.0938,64,0.0381,卢锡安,静止法衣
platinum,Jhin,26,0.1112,1852,0.1493,134,0.038,烬,卢安娜的飓风
master,Soraka,17,0.1645,8157,0.2025,79,0.038,索拉卡,基克的先驱
platinum,Vi,47,0.1193,8502,0.1571,350,0.0379,蔚,救赎
diamond,Jayce,47,0.0928,5625,0.1307,176,0.0379,杰斯,救赎
challenger,Fiora,1,0.0773,2108,0.1151,304,0.0378,菲奥娜,暴风大剑
diamond,Lucian,34,0.0721,2677,0.1098,82,0.0377,卢锡安,卢登的回声
challenger,ChoGath,55,0.0897,5394,0.1274,259,0.0377,科加斯,棘刺背心
master,Poppy,27,0.1117,7253,0.1493,355,0.0376,波比,兹若特传送门
grandmaster,Fiora,78,0.0715,2280,0.1091,55,0.0376,菲奥娜,守护者胸甲
master,Jayce,35,0.0753,4410,0.1129,124,0.0376,杰斯,钢铁烈阳之匣
diamond,Fiora,1,0.079,3024,0.1165,103,0.0375,菲奥娜,暴风大剑
platinum,Thresh,67,0.1805,5911,0.2179,257,0.0374,锤石,凌风
master,Blitzcrank,58,0.1051,18752,0.1424,337,0.0374,布里茨,叛逆者勋章
grandmaster,Soraka,67,0.1807,8530,0.218,156,0.0373,索拉卡,凌风
challenger,Ezreal,17,0.0952,12275,0.1324,370,0.0373,伊泽瑞尔,基克的先驱
diamond,Vi,28,0.1075,9879,0.1448,145,0.0373,蔚,刺客之爪
grandmaster,Ezreal,18,0.0968,11402,0.1342,82,0.0373,伊泽瑞尔,破败王者之刃
master,Lucian,2,0.0671,2640,0.1042,288,0.0371,卢锡安,反曲之弓
master,Ezreal,26,0.0999,11391,0.137,73,0.0371,伊泽瑞尔,卢安娜的飓风
platinum,Shen,36,0.1059,9464,0.1429,154,0.037,慎,离子火花
platinum,Shen,15,0.1059,9464,0.1429,77,0.037,慎,守护天使
platinum,Thresh,79,0.1805,5911,0.2174,69,0.0369,锤石,伏击之爪
platinum,Fiora,36,0.0827,3422,0.1196,92,0.0369,菲奥娜,离子火花
master,Poppy,55,0.1117,7253,0.1484,128,0.0368,波比,棘刺背心
platinum,Ashe,57,0.127,6907,0.1637,171,0.0368,艾希,红霸符
diamond,Kassadin,13,0.1245,16396,0.1613,62,0.0368,卡萨丁,海克斯科技枪刃
challenger,MissFortune,17,0.1524,4016,0.1892,74,0.0368,厄运小姐,基克的先驱
grandmaster,Vi,59,0.0928,7230,0.1295,193,0.0367,蔚,静止法衣
diamond,Ashe,29,0.1289,10077,0.1656,163,0.0367,艾希,最后的轻语
master,Ekko,17,0.1703,1368,0.2069,58,0.0366,艾克,基克的先驱
platinum,WuKong,67,0.1047,8139,0.1412,354,0.0366,孙悟空,凌风
platinum,Poppy,27,0.1036,5871,0.1401,207,0.0365,波比,兹若特传送门
grandmaster,Jayce,66,0.0801,4195,0.1165,103,0.0364,杰斯,巨龙之爪
diamond,Fiora,66,0.079,3024,0.1154,52,0.0364,菲奥娜,巨龙之爪
master,Blitzcrank,88,0.1051,18752,0.1413,184,0.0362,布里茨,自然之力
platinum,Caitlyn,19,0.0981,3108,0.1343,67,0.0362,凯特琳,无尽之刃
master,Irelia,78,0.1091,2145,0.1452,62,0.0361,艾瑞莉娅,守护者胸甲
grandmaster,Blitzcrank,46,0.1041,19762,0.1402,478,0.0361,布里茨,恩泽圣杯
grandmaster,Leona,17,0.0752,4125,0.1111,63,0.036,蕾欧娜,基克的先驱
challenger,Ezreal,35,0.0952,12275,0.1312,61,0.036,伊泽瑞尔,钢铁烈阳之匣
grandmaster,Rakan,17,0.1411,3644,0.1771,96,0.036,洛,基克的先驱
platinum,Leona,3,0.0838,4549,0.1197,117,0.0359,蕾欧娜,无用大棒
platinum,WuKong,25,0.1047,8139,0.1405,121,0.0358,孙悟空,泰坦的坚决
diamond,Thresh,46,0.1726,6832,0.2083,192,0.0358,锤石,恩泽圣杯
master,Thresh,22,0.17,8457,0.2059,102,0.0358,锤石,疾射火炮
diamond,Jayce,5,0.0928,5625,0.1286,70,0.0358,杰斯,锁子甲
challenger,Kassadin,3,0.1088,14576,0.1446,83,0.0358,卡萨丁,无用大棒
master,Vi,27,0.0952,7791,0.1309,191,0.0357,蔚,兹若特传送门
grandmaster,Fiora,3,0.0715,2280,0.1072,401,0.0357,菲奥娜,无用大棒
master,Karma,3,0.1343,9983,0.17,100,0.0357,卡尔玛,无用大棒
grandmaster,Vi,36,0.0928,7230,0.1284,2524,0.0356,蔚,离子火花
challenger,Karma,17,0.1486,11298,0.1842,266,0.0356,卡尔玛,基克的先驱
diamond,Leona,7,0.0683,3264,0.1038,289,0.0355,蕾欧娜,巨人腰带
grandmaster,Lulu,48,0.2021,6804,0.2376,101,0.0355,璐璐,星之守护者的符咒
grandmaster,Lucian,56,0.0563,2273,0.0918,98,0.0355,卢锡安,破刃者
diamond,Malphite,36,0.1228,17579,0.1583,139,0.0355,墨菲特,离子火花
diamond,Fiora,7,0.079,3024,0.1145,166,0.0354,菲奥娜,巨人腰带
diamond,Vi,56,0.1075,9879,0.1429,56,0.0354,蔚,破刃者
challenger,WuKong,47,0.1045,8208,0.1398,615,0.0353,孙悟空,救赎
diamond,VelKoz,79,0.1147,1744,0.15,60,0.0353,维克兹,伏击之爪
master,Neeko,67,0.1338,2339,0.169,71,0.0352,妮蔻,凌风
master,Fiora,7,0.0749,2524,0.1099,273,0.035,菲奥娜,巨人腰带
challenger,Lucian,5,0.0556,2517,0.0906,320,0.035,卢锡安,锁子甲
diamond,KhaZix,29,0.1008,5110,0.1358,81,0.035,卡兹克,最后的轻语
platinum,Fiora,57,0.0827,3422,0.1177,51,0.035,菲奥娜,红霸符
master,Leona,27,0.0758,4618,0.1107,244,0.0349,蕾欧娜,兹若特传送门
platinum,Ekko,45,0.1735,1816,0.2083,72,0.0349,艾克,冰霜之心
master,Jayce,66,0.0753,4410,0.1102,118,0.0349,杰斯,巨龙之爪
platinum,Neeko,37,0.092,3718,0.1269,134,0.0349,妮蔻,莫雷洛秘典
master,WuKong,55,0.1046,8805,0.1395,215,0.0349,孙悟空,棘刺背心
grandmaster,Blitzcrank,88,0.1041,19762,0.1389,180,0.0348,布里茨,自然之力
master,MissFortune,57,0.1499,3390,0.1847,222,0.0348,厄运小姐,红霸符
platinum,Ezreal,57,0.1152,8514,0.15,940,0.0348,伊泽瑞尔,红霸符
platinum,Lux,47,0.1505,9382,0.1852,81,0.0347,拉克丝,救赎
challenger,Vi,77,0.088,6514,0.1226,106,0.0347,蔚,狂徒铠甲
master,Lux,28,0.1576,10438,0.1923,104,0.0347,拉克丝,刺客之爪
master,Lux,68,0.1576,10438,0.1923,52,0.0347,拉克丝,天神法球
grandmaster,Lucian,17,0.0563,2273,0.0909,66,0.0346,卢锡安,基克的先驱
challenger,Lulu,22,0.2037,7896,0.2381,84,0.0345,璐璐,疾射火炮
diamond,Caitlyn,56,0.1084,4337,0.1429,56,0.0345,凯特琳,破刃者
diamond,Fiora,4,0.079,3024,0.1135,185,0.0345,菲奥娜,女神之泪
platinum,Jinx,57,0.0812,1428,0.1157,242,0.0345,金克丝,红霸符
master,Malphite,77,0.1165,17050,0.1509,53,0.0345,墨菲特,狂徒铠甲
master,Poppy,88,0.1117,7253,0.1461,89,0.0344,波比,自然之力
diamond,Ashe,56,0.1289,10077,0.1633,98,0.0344,艾希,破刃者
platinum,Irelia,49,0.0981,2313,0.1325,83,0.0344,艾瑞莉娅,正义之手
grandmaster,JarvanIV,27,0.1085,3004,0.1429,154,0.0343,嘉文四世,兹若特传送门
master,Leona,35,0.0758,4618,0.1101,109,0.0343,蕾欧娜,钢铁烈阳之匣
master,Shaco,11,0.0657,2040,0.1,60,0.0343,萨科,死亡之刃
master,Sona,48,0.1236,3665,0.1579,57,0.0343,娑娜,星之守护者的符咒
challenger,Leona,27,0.0909,4590,0.125,256,0.0342,蕾欧娜,兹若特传送门
platinum,Jayce,34,0.0908,4990,0.125,56,0.0342,杰斯,卢登的回声
platinum,JarvanIV,55,0.0978,5991,0.1319,91,0.0341,嘉文四世,棘刺背心
challenger,Kassadin,46,0.1088,14576,0.1429,77,0.0341,卡萨丁,恩泽圣杯
grandmaster,MissFortune,3,0.1479,3436,0.1818,88,0.034,厄运小姐,无用大棒
diamond,Jinx,57,0.0855,1205,0.1195,159,0.034,金克丝,红霸符
platinum,Vi,45,0.1193,8502,0.1533,535,0.034,蔚,冰霜之心
grandmaster,Thresh,23,0.1691,9396,0.2031,64,0.034,锤石,鬼索的狂暴之刃
platinum,XinZhao,27,0.1025,3356,0.1364,88,0.0339,赵信,兹若特传送门
diamond,Shen,27,0.1141,12828,0.148,196,0.0339,慎,兹若特传送门
master,Vi,88,0.0952,7791,0.1292,658,0.0339,蔚,自然之力
